,teamId,participantId,champion,role,lane,spell1,spell2,item1,item2,item3,item4,item5,item6,item7,win,kills,deaths,assists,largestKillingSpree,killingSprees,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,longestTimeSpentLiving,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,visionScore,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,primaryKeystone,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,championName,summonerSpell1,summonerSpell2,team,keystone,item-1,item-2,item-3,item-4,item-5,item-6,item-7
{'summonerName': 'A Litt1e Apple'},100,1,412,DUO_SUPPORT,BOTTOM,14,4,2421,3107,3857,3109,3117,3024,3364,True,2,5,17,0,0,1,0,0,0,0,622,34619,13737,12982,7899,0,6986,4878,774,1333,17723,8097,8639,986,8051,7800,0,0,36,0,0,0,13,6,0,67,27,8,False,False,False,False,8439,"{'10-20': 1.5, '0-10': 1.2999999999999998}","{'10-20': 376.6, '0-10': 281.70000000000005}","{'10-20': 298.9, '0-10': 142.7}",Thresh,Ignite,Flash,Blue,Aftershock,Broken Stopwatch,Redemption,Pauldrons of Whiterock,Knight's Vow,Boots of Mobility,Glacial Shroud,Oracle Lens
{'summonerName': 'Ciivil'},100,2,81,DUO_CARRY,BOTTOM,3,4,3153,3158,3025,3042,1055,2420,3363,True,11,2,8,10,1,2,3,0,0,0,948,141364,11073,120247,10043,0,22652,4452,18109,90,13595,5486,7733,375,12867,10650,4,1,181,6,0,5,15,2,0,2,4,0,False,False,False,False,8010,"{'10-20': 6, '0-10': 7.800000000000001}","{'10-20': 446.20000000000005, '0-10': 299.9}","{'10-20': 466.7, '0-10': 259.7}",Ezreal,Exhaust,Flash,Blue,Conqueror,Blade of the Ruined King,Ionian Boots of Lucidity,Iceborn Gauntlet,Muramana,Doran's Blade,Stopwatch,Farsight Alteration
{'summonerName': 'ìrelia'},100,3,268,SOLO,TOP,12,4,3089,3157,2055,3020,3115,0,3363,True,7,4,13,7,1,2,1,0,0,0,1001,119240,116760,2479,0,0,23892,23302,589,0,18187,5273,10173,2740,11529,11650,2,1,129,28,24,0,15,2,0,13,6,1,False,False,False,False,9923,"{'10-20': 6.6, '0-10': 5}","{'10-20': 600.9, '0-10': 378.70000000000005}","{'10-20': 500.4, '0-10': 206.60000000000002}",Azir,Teleport,Flash,Blue,Hail of Blades,Rabadon's Deathcap,Zhonya's Hourglass,Control Ward,Sorcerer's Shoes,Nashor's Tooth,N/A,Farsight Alteration
{'summonerName': 'Kyulkyung'},100,4,61,SOLO,MIDDLE,4,12,3020,3157,3285,3165,0,1056,3340,True,6,2,18,4,1,1,0,0,0,0,703,129537,110966,16075,2495,0,18614,17396,1218,0,16582,8307,7810,465,12175,11300,2,0,176,16,0,12,16,0,0,19,9,4,False,False,False,False,8230,"{'10-20': 6.8999999999999995, '0-10': 6.7}","{'10-20': 549.9, '0-10': 502.2}","{'10-20': 430, '0-10': 266.2}",Orianna,Flash,Teleport,Blue,Phase Rush,Sorcerer's Shoes,Zhonya's Hourglass,Luden's Echo,Morellonomicon,N/A,Doran's Ring,Warding Totem (Trinket)
{'summonerName': 'starþOx'},100,5,35,NONE,JUNGLE,11,14,3078,1039,3147,3077,3044,3047,3364,True,10,3,3,4,3,1,0,0,0,0,964,163995,35439,117152,11404,0,17159,4018,11796,1344,21311,6935,13966,410,12873,10958,0,0,64,136,72,20,16,2,0,19,3,3,False,False,False,False,8112,"{'10-20': 2.5, '0-10': 0.1}","{'10-20': 527.1, '0-10': 298.5}","{'10-20': 459.79999999999995, '0-10': 234.3}",Shaco,Smite,Ignite,Blue,Electrocute,Trinity Force,Hunter's Talisman,Duskblade of Draktharr,Tiamat,Phage,Ninja Tabi,Oracle Lens
{'summonerName': 'CamelPhucker'},200,6,41,SOLO,TOP,4,12,1054,3078,3508,3158,2033,0,3340,False,1,7,4,0,0,1,0,0,0,0,603,144411,14027,118986,11397,0,9092,2661,5457,974,29006,16462,11899,645,9640,9288,1,0,171,4,4,0,15,2,0,22,8,1,False,False,True,False,8437,"{'10-20': 6.1, '0-10': 5.6}","{'10-20': 418.2, '0-10': 461.2}","{'10-20': 358.9, '0-10': 264.2}",Gangplank,Flash,Teleport,Red,Grasp of the Undying,Doran's Shield,Trinity Force,Essence Reaver,Ionian Boots of Lucidity,Corrupting Potion,N/A,Warding Totem (Trinket)
{'summonerName': 'FyeBoyDan'},200,7,107,NONE,JUNGLE,4,11,3814,1036,3077,3147,3158,1036,3364,False,4,7,4,3,1,2,1,0,0,0,900,141803,4551,126899,10353,0,8192,544,7536,112,26913,10834,15218,860,9212,9150,0,0,34,113,70,16,13,3,0,24,4,6,True,False,False,False,8112,"{'10-20': 1, '0-10': 1.3}","{'10-20': 323.1, '0-10': 375.5}","{'10-20': 367.9, '0-10': 290.1}",Rengar,Flash,Smite,Red,Electrocute,Edge of Night,Long Sword,Tiamat,Duskblade of Draktharr,Ionian Boots of Lucidity,Long Sword,Oracle Lens
{'summonerName': 'ThePurpleNurple'},200,8,96,SOLO,MIDDLE,4,12,2055,3040,3020,3802,0,3116,3363,False,5,7,3,3,1,1,0,0,0,0,537,128553,112334,12503,3714,0,20432,18269,587,1575,17345,10522,6693,130,9531,10177,0,0,147,12,12,0,14,7,0,13,8,0,False,False,False,False,8229,"{'10-20': 5.699999999999999, '0-10': 6.2}","{'10-20': 372.4, '0-10': 445.3}","{'10-20': 298.6, '0-10': 256.5}",KogMaw,Flash,Teleport,Red,Arcane Comet,Control Ward,Seraph's Embrace,Sorcerer's Shoes,Lost Chapter,N/A,Rylai's Crystal Scepter,Farsight Alteration
{'summonerName': 'Jonbro'},200,9,21,DUO_CARRY,BOTTOM,4,7,3508,3006,3031,1055,3035,1037,3363,False,4,8,5,2,1,2,1,0,0,0,763,102599,938,100181,1480,871,14457,300,14156,0,20022,7530,12048,444,11543,11300,1,0,210,0,0,0,13,4,0,29,12,5,False,False,False,False,8005,"{'10-20': 6.8, '0-10': 8.3}","{'10-20': 313.29999999999995, '0-10': 302.1}","{'10-20': 375.79999999999995, '0-10': 270.9}",MissFortune,Flash,Heal,Red,Press the Attack,Essence Reaver,Berserker's Greaves,Infinity Edge,Doran's Blade,Last Whisper,Pickaxe,Farsight Alteration
{'summonerName': 'Âllegedly'},200,10,25,DUO_SUPPORT,BOTTOM,4,14,3024,0,3860,3105,3117,3157,3364,False,1,7,8,0,0,1,0,0,0,0,762,36508,25843,5978,4685,0,10758,9911,530,315,19078,10721,7669,688,6905,7110,0,0,42,0,0,0,12,3,0,40,27,3,False,False,False,False,8465,"{'10-20': 1.8, '0-10': 1.7}","{'10-20': 326.79999999999995, '0-10': 302.1}","{'10-20': 308.2, '0-10': 165.10000000000002}",Morgana,Flash,Ignite,Red,Guardian,Glacial Shroud,N/A,Bulwark of the Mountain,Aegis of the Legion,Boots of Mobility,Zhonya's Hourglass,Oracle Lens
{'summonerName': 'PValenTine'},100,1,111,DUO_SUPPORT,BOTTOM,14,4,3860,3109,3117,3050,0,0,3364,True,1,1,15,0,0,1,0,0,0,0,484,23742,9333,9994,4414,0,4925,3331,1060,534,6498,1824,4270,402,7359,6175,1,0,37,0,0,0,13,3,0,59,20,5,False,False,False,False,8439,"{'10-20': 1.3, '0-10': 1.5}","{'10-20': 321.5, '0-10': 298.2}","{'10-20': 263.8, '0-10': 202.6}",Nautilus,Ignite,Flash,Blue,Aftershock,Bulwark of the Mountain,Knight's Vow,Boots of Mobility,Zeke's Convergence,N/A,N/A,Oracle Lens
{'summonerName': 'ìrelia'},100,2,268,SOLO,TOP,12,4,1058,3115,3020,1058,3151,0,3340,True,8,3,5,5,2,3,1,1,0,0,800,121071,119008,2062,0,0,20338,20024,313,0,11945,5603,5953,387,11752,10510,3,0,160,8,8,0,14,2,0,17,10,1,True,False,False,False,9923,"{'10-20': 7.4, '0-10': 6.2}","{'10-20': 483.5, '0-10': 429}","{'10-20': 412.4, '0-10': 295.9}",Azir,Teleport,Flash,Blue,Hail of Blades,Needlessly Large Rod,Nashor's Tooth,Sorcerer's Shoes,Needlessly Large Rod,Liandry's Torment,N/A,Warding Totem (Trinket)
{'summonerName': 'Kyulkyung'},100,3,61,SOLO,MIDDLE,4,12,3020,3285,3165,1058,1056,0,3340,True,7,6,8,4,2,2,1,0,0,0,213,114357,100640,13048,668,0,17201,16396,651,154,11578,6041,5168,368,12136,9450,3,2,162,8,0,0,15,0,0,16,9,1,False,False,True,False,8230,"{'10-20': 7, '0-10': 5.800000000000001}","{'10-20': 535.3, '0-10': 403.1}","{'10-20': 534, '0-10': 222.2}",Orianna,Flash,Teleport,Blue,Phase Rush,Sorcerer's Shoes,Luden's Echo,Morellonomicon,Needlessly Large Rod,Doran's Ring,N/A,Warding Totem (Trinket)
{'summonerName': 'MrTurtleEsq'},100,4,106,NONE,JUNGLE,11,4,1401,3065,3800,3111,0,0,3364,True,2,2,5,0,0,1,0,0,0,0,510,141840,58868,64786,18185,0,4636,1265,3012,358,26855,5781,20211,862,9285,9275,1,0,13,140,88,0,14,1,0,14,3,2,False,False,False,False,8010,"{'10-20': 0.1, '0-10': 0.2}","{'10-20': 447.6, '0-10': 346.79999999999995}","{'10-20': 348.4, '0-10': 283.70000000000005}",Volibear,Smite,Flash,Blue,Conqueror,Enchantment: Cinderhulk,Spirit Visage,Righteous Glory,Mercury's Treads,N/A,N/A,Oracle Lens
{'summonerName': 'Zeusuo'},100,5,157,DUO_CARRY,BOTTOM,3,4,3144,1055,1042,3046,3006,3031,3340,True,7,3,7,4,2,2,1,0,0,0,537,132786,9013,122981,792,592,13182,1208,11728,246,17566,4268,12622,675,11659,9950,0,0,184,12,0,8,14,0,0,12,8,0,False,False,False,False,8010,"{'10-20': 8.4, '0-10': 7.1}","{'10-20': 480.29999999999995, '0-10': 336.5}","{'10-20': 402.6, '0-10': 381.9}",Yasuo,Exhaust,Flash,Blue,Conqueror,Bilgewater Cutlass,Doran's Blade,Dagger,Phantom Dancer,Berserker's Greaves,Infinity Edge,Warding Totem (Trinket)
{'summonerName': 'zOjUpton'},200,6,145,DUO_CARRY,BOTTOM,4,7,3006,3004,3124,1042,1054,0,3363,False,1,5,4,0,0,1,0,0,0,0,609,85128,9442,75686,0,0,8475,2767,5708,0,14182,7633,6348,200,7992,7550,0,0,176,6,6,0,12,0,0,6,4,0,False,False,False,False,9923,"{'10-20': 7, '0-10': 6.5}","{'10-20': 389, '0-10': 307}","{'10-20': 288.5, '0-10': 266.1}",Kaisa,Flash,Heal,Red,Hail of Blades,Berserker's Greaves,Manamune,Guinsoo's Rageblade,Dagger,Doran's Shield,N/A,Farsight Alteration
{'summonerName': 'Narnia Express'},200,7,104,NONE,JUNGLE,4,11,1412,3179,3105,3006,3133,1053,3364,False,4,3,3,3,1,1,0,0,0,0,657,158361,5748,149575,3036,0,10240,601,8904,734,16184,8239,7598,346,10110,9525,0,0,43,138,120,4,14,2,0,28,3,9,False,False,False,False,8021,"{'10-20': 2.7, '0-10': 0.3}","{'10-20': 556.7, '0-10': 317.9}","{'10-20': 393.3, '0-10': 369.1}",Graves,Flash,Smite,Red,Fleet Footwork,Enchantment: Warrior,Umbral Glaive,Aegis of the Legion,Berserker's Greaves,Caulfield's Warhammer,Vampiric Scepter,Oracle Lens
{'summonerName': 'NightTimee'},200,8,134,SOLO,MIDDLE,12,4,2033,3191,3020,0,3165,3285,3340,False,4,4,4,3,1,1,0,0,0,0,673,118398,103645,13202,1551,0,12995,12136,788,71,12782,9115,3608,58,9640,9125,0,0,190,3,1,0,14,3,0,18,11,2,False,False,False,False,8229,"{'10-20': 8.6, '0-10': 7.4}","{'10-20': 537.3, '0-10': 574.4000000000001}","{'10-20': 381.3, '0-10': 345.6}",Syndra,Teleport,Flash,Red,Arcane Comet,Corrupting Potion,Seeker's Armguard,Sorcerer's Shoes,N/A,Morellonomicon,Luden's Echo,Warding Totem (Trinket)
{'summonerName': 'Skathran'},200,9,98,SOLO,TOP,14,4,3194,3748,3111,1054,0,0,3340,False,3,6,5,3,1,1,0,0,0,0,530,71243,10260,51455,9527,0,10744,2785,6375,1584,22769,12211,10091,466,8693,7900,0,0,153,0,0,0,14,0,0,12,7,0,False,False,False,False,8437,"{'10-20': 6.8, '0-10': 6}","{'10-20': 490.6, '0-10': 448.5}","{'10-20': 406, '0-10': 245.7}",Shen,Ignite,Flash,Red,Grasp of the Undying,Adaptive Helm,Titanic Hydra,Mercury's Treads,Doran's Shield,N/A,N/A,Warding Totem (Trinket)
{'summonerName': 'Lovebird Rakan'},200,10,117,DUO_SUPPORT,BOTTOM,4,14,3853,3047,3504,2010,3107,0,3364,False,3,7,3,3,1,1,0,0,0,0,444,10814,8927,1578,308,0,4706,3469,929,308,10175,7206,2747,222,5993,5850,0,0,5,0,0,0,11,2,0,41,18,2,False,False,False,False,8351,"{'10-20': 0.2, '0-10': 0.2}","{'10-20': 363.4, '0-10': 235.8}","{'10-20': 249.79999999999998, '0-10': 164.8}",Lulu,Flash,Ignite,Red,Glacial Augment,Shard of True Ice,Ninja Tabi,Ardent Censer,Total Biscuit of Everlasting Will,Redemption,N/A,Oracle Lens
{'summonerName': 'FatJuicyBussy'},100,1,235,DUO_SUPPORT,BOTTOM,4,21,3864,3814,3147,3179,3009,3123,3364,False,6,7,17,3,1,1,0,0,0,0,471,55610,0,55177,433,449,24353,0,23938,415,18892,5478,13175,238,11454,10250,3,0,40,6,0,4,13,2,0,50,13,8,False,False,True,False,8351,"{'10-20': 2, '0-10': 0.5, '20-30': 1.5}","{'10-20': 500.09999999999997, '0-10': 229.7, '20-30': 336.20000000000005}","{'10-20': 490.29999999999995, '0-10': 213.5, '20-30': 350}",Senna,Flash,Barrier,Blue,Glacial Augment,Black Mist Scythe,Edge of Night,Duskblade of Draktharr,Umbral Glaive,Boots of Swiftness,Executioner's Calling,Oracle Lens
{'summonerName': 'ByeSuzzanne'},100,2,51,DUO_CARRY,BOTTOM,4,7,1055,3094,3031,3006,3087,3123,3363,False,10,8,9,3,4,2,2,0,0,0,423,144254,10236,132218,1799,1357,32559,2079,29080,1399,20671,7365,13306,0,13196,12825,1,0,152,12,12,0,13,1,0,23,8,4,False,False,False,True,8008,"{'10-20': 6.5, '0-10': 6, '20-30': 2.6}","{'10-20': 471.1, '0-10': 312.4, '20-30': 317.1}","{'10-20': 624.9000000000001, '0-10': 289.6, '20-30': 330.29999999999995}",Caitlyn,Flash,Heal,Blue,Lethal Tempo,Doran's Blade,Rapid Firecannon,Infinity Edge,Berserker's Greaves,Statikk Shiv,Executioner's Calling,Farsight Alteration
{'summonerName': 'Gotnogrncardd'},100,3,20,NONE,JUNGLE,4,11,1413,3047,3065,2055,3075,3742,3364,False,5,5,21,3,1,1,0,0,0,0,663,201208,104882,33681,62644,53,25048,21448,2683,916,54653,17217,36191,1244,13556,12500,0,0,50,156,90,10,16,2,0,18,2,2,False,False,False,False,8439,"{'10-20': 1.3, '0-10': 0.9, '20-30': 2.3}","{'10-20': 645.5, '0-10': 426.1, '20-30': 498.8}","{'10-20': 538.6, '0-10': 378.79999999999995, '20-30': 355.79999999999995}",Nunu,Flash,Smite,Blue,Aftershock,Enchantment: Cinderhulk,Ninja Tabi,Spirit Visage,Control Ward,Thornmail,Dead Man's Plate,Oracle Lens
{'summonerName': 'ìrelia'},100,4,268,SOLO,TOP,12,4,1058,1057,3115,3165,3020,1058,3363,False,8,9,8,5,1,3,1,1,0,0,405,112710,105856,5006,1847,0,22233,21243,820,169,28728,9229,19028,470,11751,11505,1,0,141,16,12,4,15,1,0,25,8,2,False,False,False,False,9923,"{'10-20': 5.5, '0-10': 6.199999999999999, '20-30': 2.4}","{'10-20': 540.2, '0-10': 449.20000000000005, '20-30': 331.4}","{'10-20': 577.0999999999999, '0-10': 233.5, '20-30': 291.9}",Azir,Teleport,Flash,Blue,Hail of Blades,Needlessly Large Rod,Negatron Cloak,Nashor's Tooth,Morellonomicon,Sorcerer's Shoes,Needlessly Large Rod,Farsight Alteration
{'summonerName': 'Kyulkyung'},100,5,103,SOLO,MIDDLE,4,14,3020,3285,3165,3191,1056,1052,3340,False,7,9,9,2,2,2,1,0,0,0,410,107177,59516,12944,34716,0,17486,11990,1106,4389,27604,13147,14085,372,11323,9835,1,1,163,0,0,0,15,0,0,22,10,4,False,False,False,False,8112,"{'10-20': 5.9, '0-10': 6.4, '20-30': 3.5}","{'10-20': 473.9, '0-10': 463.9, '20-30': 289.9}","{'10-20': 379.7, '0-10': 269.5, '20-30': 290.2}",Ahri,Flash,Ignite,Blue,Electrocute,Sorcerer's Shoes,Luden's Echo,Morellonomicon,Seeker's Armguard,Doran's Ring,Amplifying Tome,Warding Totem (Trinket)
{'summonerName': 'wigga'},200,6,150,SOLO,TOP,4,12,1054,3065,1011,3111,3075,3123,3340,True,5,5,14,2,1,1,0,0,0,0,616,140092,19320,112340,8432,26,22912,5704,16809,398,45082,17335,25976,1770,12196,9300,1,0,162,0,0,0,16,0,0,13,7,1,False,False,False,False,8437,"{'10-20': 6.6, '0-10': 5.9, '20-30': 3.1}","{'10-20': 563.2, '0-10': 416.6, '20-30': 510.3}","{'10-20': 435.6, '0-10': 219.3, '20-30': 339.9}",Gnar,Flash,Teleport,Red,Grasp of the Undying,Doran's Shield,Spirit Visage,Giant's Belt,Mercury's Treads,Thornmail,Executioner's Calling,Warding Totem (Trinket)
{'summonerName': 'Ronick111'},200,7,64,NONE,JUNGLE,11,4,3082,3077,3109,3117,1400,1011,3340,True,6,7,12,2,2,1,0,0,0,0,490,161396,29493,122922,8980,0,16880,2844,13786,250,35284,16456,17124,1703,11625,9675,0,0,36,128,101,4,16,5,0,25,16,1,False,False,False,False,8112,"{'10-20': 0.1, '0-10': 0.2, '20-30': 2.4}","{'10-20': 391.4, '0-10': 401.9, '20-30': 607.2}","{'10-20': 272.3, '0-10': 314, '20-30': 354.5}",LeeSin,Smite,Flash,Red,Electrocute,Warden's Mail,Tiamat,Knight's Vow,Boots of Mobility,Enchantment: Warrior,Giant's Belt,Warding Totem (Trinket)
{'summonerName': 'Snepai'},200,8,61,SOLO,MIDDLE,21,4,3285,2033,1058,1082,3165,3020,3363,True,5,3,19,4,1,1,0,0,0,0,1025,153044,138737,13707,600,0,33224,31549,1284,390,19371,9953,8176,1240,12173,9625,2,1,198,0,0,0,16,3,0,19,11,0,False,False,False,False,8229,"{'10-20': 6.5, '0-10': 7.199999999999999, '20-30': 4.6}","{'10-20': 541.4, '0-10': 441.9, '20-30': 412.9}","{'10-20': 365.6, '0-10': 271.4, '20-30': 377.9}",Orianna,Barrier,Flash,Red,Arcane Comet,Luden's Echo,Corrupting Potion,Needlessly Large Rod,Dark Seal,Morellonomicon,Sorcerer's Shoes,Farsight Alteration
{'summonerName': 'STRATxExBEAST'},200,9,16,SOLO,BOTTOM,4,3,3504,3174,3853,3117,3114,3801,3364,True,1,9,24,0,0,1,0,0,0,0,700,25999,21951,4048,0,0,10927,10209,717,0,20590,7940,11752,898,8927,7425,1,0,23,0,0,0,14,1,0,13,9,1,False,False,False,False,8214,"{'10-20': 0.9, '0-10': 1.2000000000000002, '20-30': 0.2}","{'10-20': 293.9, '0-10': 307, '20-30': 432.5}","{'10-20': 279.1, '0-10': 225.60000000000002, '20-30': 246.9}",Soraka,Flash,Exhaust,Red,Summon Aery,Ardent Censer,Athene's Unholy Grail,Shard of True Ice,Boots of Mobility,Forbidden Idol,Crystalline Bracer,Oracle Lens
